Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Bayern Munich,Lucas Hernández,23,France,Centre-Back,CB,£63.00m,Atlético Madrid,Spain,£72.00m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/lucas-hernandez/profil/spieler/281963
Bayern Munich,Benjamin Pavard,23,France,Right-Back,RB,£27.00m,VfB Stuttgart,Germany,£31.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/benjamin-pavard/profil/spieler/353366
Bayern Munich,Michaël Cuisance,20,France,Central Midfield,CM,£4.50m,Borussia Mönchengladbach,Germany,£10.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-cuisance/profil/spieler/344600
Bayern Munich,Philippe Coutinho,27,Brazil,Attacking Midfield,AM,£81.00m,FC Barcelona,Spain,Loan fee:£7.65m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philippe-coutinho/profil/spieler/80444
Bayern Munich,Ivan Perisic,30,Croatia,Left Winger,LW,£27.00m,Inter Milan,Italy,Loan fee:£4.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ivan-perisic/profil/spieler/42460
Bayern Munich,Fiete Arp,19,Germany,Centre-Forward,CF,£3.60m,Hamburger SV,Germany,£2.70m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/fiete-arp/profil/spieler/343337
Bayern Munich,Lars Lukas Mai,19,Germany,Centre-Back,CB,£540Th.,FC Bayern Munich II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/lars-lukas-mai/profil/spieler/345780
Bayern Munich,Adrian Fein,20,Germany,Defensive Midfield,DM,£675Th.,FC Bayern Munich II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/adrian-fein/profil/spieler/379979
Bayern Munich,Marco Friedl,21,Austria,Centre-Back,CB,£2.25m,SV Werder Bremen,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/marco-friedl/profil/spieler/156990
Borussia Dortmund,Mats Hummels,30,Germany,Centre-Back,CB,£31.50m,Bayern Munich,Germany,£27.45m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mats-hummels/profil/spieler/39728
Borussia Dortmund,Nico Schulz,26,Germany,Left-Back,LB,£22.50m,TSG 1899 Hoffenheim,Germany,£22.95m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/nico-schulz/profil/spieler/85867
Borussia Dortmund,Thorgan Hazard,26,Belgium,Left Winger,LW,£34.20m,Borussia Mönchengladbach,Germany,£22.95m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/thorgan-hazard/profil/spieler/102226
Borussia Dortmund,Julian Brandt,23,Germany,Central Midfield,CM,£45.00m,Bayer 04 Leverkusen,Germany,£22.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/julian-brandt/profil/spieler/187492
Borussia Dortmund,Paco Alcácer,25,Spain,Centre-Forward,CF,£33.30m,FC Barcelona,Spain,£18.90m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/paco-alcacer/profil/spieler/126716
Borussia Dortmund,Mateu Morey,19,Spain,Right-Back,RB,£270Th.,FC Barcelona U19,Spain,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mateu-morey/profil/spieler/388513
Borussia Dortmund,Tobias Raschl,19,Germany,Defensive Midfield,DM,-,Borussia Dortmund U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/tobias-raschl/profil/spieler/384745
Borussia Dortmund,Sergio Gómez,19,Spain,Attacking Midfield,AM,£2.07m,SD Huesca,Spain,"End of loanJul 20, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sergio-gomez/profil/spieler/366930
Borussia Dortmund,Luca Unbehaun,18,Germany,Goalkeeper,GK,-,Borussia Dortmund U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/luca-unbehaun/profil/spieler/388815
Borussia Dortmund,Felix Passlack,21,Germany,Right-Back,RB,£1.35m,Norwich City,England,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/felix-passlack/profil/spieler/274461
Borussia Dortmund,Alexander Isak,19,Sweden,Centre-Forward,CF,£7.20m,Willem II Tilburg,Netherlands,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/alexander-isak/profil/spieler/349066
Borussia Dortmund,Sebastian Rode,28,Germany,Central Midfield,CM,£2.70m,Eintracht Frankfurt,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sebastian-rode/profil/spieler/44466
Borussia Dortmund,Jeremy Toljan,24,Germany,Right-Back,RB,£2.70m,Celtic FC,Scotland,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jeremy-toljan/profil/spieler/129674
Borussia Dortmund,André Schürrle,28,Germany,Left Winger,LW,£10.80m,Fulham FC,England,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/andre-schurrle/profil/spieler/58205
Borussia Dortmund,Shinji Kagawa,30,Japan,Attacking Midfield,AM,£5.40m,Besiktas JK,Turkey,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/shinji-kagawa/profil/spieler/81785
RB Leipzig,Ademola Lookman,21,England,Left Winger,LW,£18.00m,Everton FC,England,£16.20m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ademola-lookman/profil/spieler/406040
RB Leipzig,Christopher Nkunku,21,France,Attacking Midfield,AM,£10.80m,Paris Saint-Germain,France,£11.70m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/christopher-nkunku/profil/spieler/344381
RB Leipzig,Hannes Wolf,20,Austria,Attacking Midfield,AM,£10.80m,Red Bull Salzburg,Austria,£10.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/hannes-wolf/profil/spieler/321070
RB Leipzig,Luan Cândido,18,Brazil,Left-Back,LB,£3.60m,SE Palmeiras B,Brazil,£7.20m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/luan-candido/profil/spieler/432166
RB Leipzig,Patrik Schick,23,Czech Republic,Centre-Forward,CF,£13.50m,AS Roma,Italy,Loan fee:£3.15m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/patrik-schick/profil/spieler/242086
RB Leipzig,Ethan Ampadu,18,Wales,Centre-Back,CB,£9.00m,Chelsea FC,England,Loan fee:£585Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ethan-ampadu/profil/spieler/392771
RB Leipzig,Philipp Tschauner,33,Germany,Goalkeeper,GK,£360Th.,Hannover 96,Germany,£315Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philipp-tschauner/profil/spieler/21726
RB Leipzig,Fabrice Hartmann,18,Germany,Right Winger,RW,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/fabrice-hartmann/profil/spieler/405685
RB Leipzig,Mads Bidstrup,18,Denmark,Central Midfield,CM,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/mads-bidstrup/profil/spieler/462832
RB Leipzig,Frederik Jäkel,18,Germany,Centre-Back,CB,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/frederik-jakel/profil/spieler/405679
RB Leipzig,Malik Talabidi,18,Germany,Centre-Back,CB,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/malik-talabidi/profil/spieler/508961
RB Leipzig,Tom Krauß,18,Germany,Defensive Midfield,DM,-,RasenBallsport Leipzig U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/tom-krauss/profil/spieler/405687
Bayer 04 Leverkusen,Kerem Demirbay,25,Germany,Central Midfield,CM,£28.80m,TSG 1899 Hoffenheim,Germany,£28.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/kerem-demirbay/profil/spieler/125858
Bayer 04 Leverkusen,Moussa Diaby,19,France,Left Winger,LW,£10.80m,Paris Saint-Germain,France,£13.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/moussa-diaby/profil/spieler/395516
Bayer 04 Leverkusen,Nadiem Amiri,22,Germany,Attacking Midfield,AM,£15.30m,TSG 1899 Hoffenheim,Germany,£8.10m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/nadiem-amiri/profil/spieler/232454
Bayer 04 Leverkusen,Daley Sinkgraven,23,Netherlands,Left-Back,LB,£2.70m,Ajax Amsterdam,Netherlands,£4.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/daley-sinkgraven/profil/spieler/215099
Bayer 04 Leverkusen,Adrian Stanilewicz,19,Poland,Defensive Midfield,DM,£45Th.,Bayer 04 Leverkusen U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/adrian-stanilewicz/profil/spieler/389078
Bayer 04 Leverkusen,Niklas Lomb,25,Germany,Goalkeeper,GK,£225Th.,SV Sandhausen,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/niklas-lomb/profil/spieler/85543
Bayer 04 Leverkusen,Tomasz Kucz,19,Poland,Goalkeeper,GK,£225Th.,DAC Dunajska Streda,Slovakia,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/tomasz-kucz/profil/spieler/320954
Borussia Mönchengladbach,Stefan Lainer,26,Austria,Right-Back,RB,£11.25m,Red Bull Salzburg,Austria,£11.25m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/stefan-lainer/profil/spieler/85791
Borussia Mönchengladbach,Breel Embolo,22,Switzerland,Centre-Forward,CF,£12.60m,FC Schalke 04,Germany,£9.00m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/breel-embolo/profil/spieler/237662
Borussia Mönchengladbach,Marcus Thuram,21,France,Centre-Forward,CF,£8.10m,EA Guingamp,France,£8.10m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/marcus-thuram/profil/spieler/318528
Borussia Mönchengladbach,Ramy Bensebaini,24,Algeria,Left-Back,LB,£7.20m,Stade Rennais FC,France,£7.20m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ramy-bensebaini/profil/spieler/284732
Borussia Mönchengladbach,Max Grün,32,Germany,Goalkeeper,GK,£135Th.,SV Darmstadt 98,Germany,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/max-grun/profil/spieler/32779
Borussia Mönchengladbach,Julio Villalba,21,Paraguay,Centre-Forward,CF,£405Th.,SC Rheindorf Altach,Austria,"End of loanJul 31, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/julio-villalba/profil/spieler/401717
Borussia Mönchengladbach,Andreas Poulsen,20,Denmark,Left-Back,LB,£1.17m,Austria Vienna,Austria,"End of loanJul 31, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/andreas-poulsen/profil/spieler/345746
Borussia Mönchengladbach,Lászlo Bénes,21,Slovakia,Central Midfield,CM,£1.35m,Holstein Kiel,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/laszlo-benes/profil/spieler/243188
VfL Wolfsburg,Xaver Schlager,21,Austria,Central Midfield,CM,£13.50m,Red Bull Salzburg,Austria,£13.50m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/xaver-schlager/profil/spieler/223979
VfL Wolfsburg,Kevin Mbabu,24,Switzerland,Right-Back,RB,£9.00m,BSC Young Boys,Switzerland,£8.28m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/kevin-mbabu/profil/spieler/183321
VfL Wolfsburg,João Victor,25,Brazil,Left Winger,LW,£2.70m,LASK,Austria,£3.15m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/joao-victor/profil/spieler/381724
VfL Wolfsburg,Paulo Otávio,24,Brazil,Left-Back,LB,£900Th.,FC Ingolstadt 04,Germany,£990Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/paulo-otavio/profil/spieler/221611
VfL Wolfsburg,Lukas Nmecha,20,Germany,Centre-Forward,CF,£900Th.,Manchester City U23,England,Loan,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/lukas-nmecha/profil/spieler/314288
VfL Wolfsburg,John Yeboah,19,Germany,Left Winger,LW,£720Th.,VfL Wolfsburg U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/john-yeboah/profil/spieler/439914
VfL Wolfsburg,Niklas Klinger,23,Germany,Goalkeeper,GK,£90Th.,VfL Wolfsburg II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/niklas-klinger/profil/spieler/192268
VfL Wolfsburg,Victor Osimhen,20,Nigeria,Centre-Forward,CF,£11.70m,RSC Charleroi,Belgium,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/victor-osimhen/profil/spieler/401923
VfL Wolfsburg,Jeffrey Bruma,27,Netherlands,Centre-Back,CB,£2.25m,FC Schalke 04,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jeffrey-bruma/profil/spieler/88721
VfL Wolfsburg,Landry Dimata,21,Belgium,Centre-Forward,CF,£6.30m,RSC Anderlecht,Belgium,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/landry-dimata/profil/spieler/311489
VfL Wolfsburg,Paul Seguin,24,Germany,Defensive Midfield,DM,£900Th.,SpVgg Greuther Fürth,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/paul-seguin/profil/spieler/183780
VfL Wolfsburg,Riechedly Bazoer,22,Netherlands,Central Midfield,CM,£2.25m,FC Utrecht,Netherlands,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/riechedly-bazoer/profil/spieler/216443
Eintracht Frankfurt,Martin Hinteregger,26,Austria,Centre-Back,CB,£14.40m,FC Augsburg,Germany,£8.10m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/martin-hinteregger/profil/spieler/85789
Eintracht Frankfurt,Djibril Sow,22,Switzerland,Central Midfield,CM,£8.10m,BSC Young Boys,Switzerland,£8.10m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/djibril-sow/profil/spieler/212723
Eintracht Frankfurt,Dominik Kohr,25,Germany,Central Midfield,CM,£3.60m,Bayer 04 Leverkusen,Germany,£7.65m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/dominik-kohr/profil/spieler/118847
Eintracht Frankfurt,Bas Dost,30,Netherlands,Centre-Forward,CF,£15.30m,Sporting CP,Portugal,£6.30m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/bas-dost/profil/spieler/56331
Eintracht Frankfurt,Luka Jovic,21,Serbia,Centre-Forward,CF,£54.00m,SL Benfica,Portugal,£6.30m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/luka-jovic/profil/spieler/257462
Eintracht Frankfurt,Kevin Trapp,29,Germany,Goalkeeper,GK,£9.00m,Paris Saint-Germain,France,£6.30m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/kevin-trapp/profil/spieler/45672
Eintracht Frankfurt,Filip Kostic,26,Serbia,Left Midfield,LM,£19.80m,Hamburger SV,Germany,£5.40m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/filip-kostic/profil/spieler/161011
Eintracht Frankfurt,Dejan Joveljic,19,Serbia,Centre-Forward,CF,£3.60m,Red Star Belgrade,Serbia,£3.60m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/dejan-joveljic/profil/spieler/336382
Eintracht Frankfurt,Sebastian Rode,28,Germany,Central Midfield,CM,£2.70m,Borussia Dortmund,Germany,£3.60m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sebastian-rode/profil/spieler/44466
Eintracht Frankfurt,Erik Durm,27,Germany,Left-Back,LB,£1.80m,Huddersfield Town,England,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/erik-durm/profil/spieler/93922
Eintracht Frankfurt,André Silva,23,Portugal,Centre-Forward,CF,£19.80m,AC Milan,Italy,Loan,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/andre-silva/profil/spieler/198008
Eintracht Frankfurt,Rodrigo Zalazar,19,Uruguay,Central Midfield,CM,£45Th.,Atlético Malagueño,Spain,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/rodrigo-zalazar/profil/spieler/606752
Eintracht Frankfurt,Rodrigo Zalazar,20,Uruguay,Central Midfield,CM,£45Th.,Korona Kielce,Poland,"End of loanApr 30, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/rodrigo-zalazar/profil/spieler/606752
Eintracht Frankfurt,Danny Blum,28,Germany,Left Winger,LW,£450Th.,UD Las Palmas,Spain,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/danny-blum/profil/spieler/41541
Eintracht Frankfurt,Deji Beyreuther,19,Germany,Left-Back,LB,£68Th.,Chemnitzer FC,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/deji-beyreuther/profil/spieler/482163
Eintracht Frankfurt,Noel Knothe,20,Germany,Centre-Back,CB,£90Th.,FC Pipinsried,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/noel-knothe/profil/spieler/379960
Eintracht Frankfurt,Max Besuschkow,22,Germany,Central Midfield,CM,£360Th.,Royale Union Saint Gilloise,Belgium,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/max-besuschkow/profil/spieler/207578
Eintracht Frankfurt,Daichi Kamada,22,Japan,Attacking Midfield,AM,£4.05m,Sint-Truidense VV,Belgium,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/daichi-kamada/profil/spieler/356141
Eintracht Frankfurt,Felix Wiedwald,29,Germany,Goalkeeper,GK,£540Th.,MSV Duisburg,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/felix-wiedwald/profil/spieler/44594
Eintracht Frankfurt,Andersson Ordóñez,25,Ecuador,Centre-Back,CB,£630Th.,LDU Quito,Ecuador,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/andersson-ordonez/profil/spieler/234625
Eintracht Frankfurt,Marijan Cavar,21,Bosnia-Herzegovina,Central Midfield,CM,£360Th.,NK Osijek,Croatia,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/marijan-cavar/profil/spieler/419255
Eintracht Frankfurt,Nicolai Müller,31,Germany,Right Winger,RW,£1.35m,Hannover 96,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/nicolai-muller/profil/spieler/39426
SV Werder Bremen,Niclas Füllkrug,26,Germany,Centre-Forward,CF,£7.20m,Hannover 96,Germany,£5.85m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/niclas-fullkrug/profil/spieler/75489
SV Werder Bremen,Marco Friedl,21,Austria,Centre-Back,CB,£2.25m,Bayern Munich,Germany,£3.15m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/marco-friedl/profil/spieler/156990
SV Werder Bremen,Ömer Toprak,30,Turkey,Centre-Back,CB,£4.50m,Borussia Dortmund,Germany,Loan fee:£2.25m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/omer-toprak/profil/spieler/43512
SV Werder Bremen,Leonardo Bittencourt,25,Germany,Attacking Midfield,AM,£6.30m,TSG 1899 Hoffenheim,Germany,Loan fee:£540Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/leonardo-bittencourt/profil/spieler/93844
SV Werder Bremen,Michael Lang,28,Switzerland,Right-Back,RB,£4.05m,Borussia Mönchengladbach,Germany,Loan fee:£540Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-lang/profil/spieler/51346
SV Werder Bremen,Benjamin Goller,20,Germany,Right Winger,RW,£360Th.,FC Schalke 04,Germany,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/benjamin-goller/profil/spieler/388058
SV Werder Bremen,David Philipp,19,Germany,Right Winger,RW,£90Th.,SV Werder Bremen U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/david-philipp/profil/spieler/342165
SV Werder Bremen,Boubacar Barry,23,Germany,Right Winger,RW,£113Th.,SV Werder Bremen II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/boubacar-barry/profil/spieler/242166
SV Werder Bremen,Romano Schmid,20,Austria,Central Midfield,CM,£1.44m,Wolfsberger AC,Austria,"End of loanJul 31, 2020",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/romano-schmid/profil/spieler/346853
SV Werder Bremen,Simon Straudi,20,Italy,Right-Back,RB,£68Th.,SV Werder Bremen II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/simon-straudi/profil/spieler/379879
SV Werder Bremen,Jonah Osabutey,20,Ghana,Centre-Forward,CF,£113Th.,SV Werder Bremen II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jonah-osabutey/profil/spieler/269766
SV Werder Bremen,Ilia Gruev,19,Bulgaria,Defensive Midfield,DM,-,SV Werder Bremen U19,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ilia-gruev/profil/spieler/381753
SV Werder Bremen,Jannes Vollert,21,Germany,Centre-Back,CB,£135Th.,SV Werder Bremen II,Germany,-,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jannes-vollert/profil/spieler/267035
SV Werder Bremen,Robert Bauer,24,Germany,Right-Back,RB,£1.80m,1.FC Nuremberg,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/robert-bauer/profil/spieler/179634
SV Werder Bremen,Michael Zetterer,23,Germany,Goalkeeper,GK,£315Th.,SK Austria Klagenfurt,Austria,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/michael-zetterer/profil/spieler/196813
SV Werder Bremen,Ole Käuper,22,Germany,Defensive Midfield,DM,£315Th.,FC Erzgebirge Aue,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ole-kauper/profil/spieler/195676
SV Werder Bremen,Niklas Schmidt,21,Germany,Attacking Midfield,AM,£540Th.,SV Wehen Wiesbaden,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/niklas-schmidt/profil/spieler/275249
TSG 1899 Hoffenheim,Diadie Samassékou,23,Mali,Defensive Midfield,DM,£18.00m,Red Bull Salzburg,Austria,£10.80m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/diadie-samassekou/profil/spieler/315604
TSG 1899 Hoffenheim,Robert Skov,23,Denmark,Right Winger,RW,£11.70m,FC Copenhagen,Denmark,£9.00m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/robert-skov/profil/spieler/270393
TSG 1899 Hoffenheim,Ihlas Bebou,25,Togo,Right Winger,RW,£10.80m,Hannover 96,Germany,£7.65m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/ihlas-bebou/profil/spieler/237164
TSG 1899 Hoffenheim,Sargis Adamyan,26,Armenia,Left Winger,LW,£2.70m,SSV Jahn Regensburg,Germany,£1.35m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sargis-adamyan/profil/spieler/125614
TSG 1899 Hoffenheim,Sebastian Rudy,29,Germany,Defensive Midfield,DM,£8.10m,FC Schalke 04,Germany,Loan fee:£765Th.,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/sebastian-rudy/profil/spieler/57051
TSG 1899 Hoffenheim,Konstantinos Stafylidis,25,Greece,Left-Back,LB,£2.70m,FC Augsburg,Germany,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/konstantinos-stafylidis/profil/spieler/148967
TSG 1899 Hoffenheim,Philipp Pentke,34,Germany,Goalkeeper,GK,£270Th.,SSV Jahn Regensburg,Germany,Free transfer,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philipp-pentke/profil/spieler/8246
TSG 1899 Hoffenheim,Jürgen Locadia,25,Netherlands,Centre-Forward,CF,£10.80m,Brighton & Hove Albion,England,Loan,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/jurgen-locadia/profil/spieler/166240
TSG 1899 Hoffenheim,Felipe Pires,24,Brazil,Left Winger,LW,£1.35m,Sociedade Esportiva Palmeiras,Brazil,"End of loanJul 21, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/felipe-pires/profil/spieler/327911
TSG 1899 Hoffenheim,Antonio Colak,25,Croatia,Centre-Forward,CF,£1.80m,HNK Rijeka,Croatia,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/antonio-colak/profil/spieler/160668
TSG 1899 Hoffenheim,Kevin Akpoguma,24,Germany,Centre-Back,CB,£5.85m,Hannover 96,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/kevin-akpoguma/profil/spieler/160241
TSG 1899 Hoffenheim,Steven Zuber,27,Switzerland,Left Midfield,LM,£6.30m,VfB Stuttgart,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/steven-zuber/profil/spieler/68033
TSG 1899 Hoffenheim,Robert Zulj,27,Austria,Attacking Midfield,AM,£1.35m,1.FC Union Berlin,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/robert-zulj/profil/spieler/122676
TSG 1899 Hoffenheim,Vincenzo Grifo,26,Italy,Left Winger,LW,£8.10m,SC Freiburg,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/vincenzo-grifo/profil/spieler/185077
TSG 1899 Hoffenheim,Havard Nordtveit,29,Norway,Centre-Back,CB,£3.60m,Fulham FC,England,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/havard-nordtveit/profil/spieler/42234
TSG 1899 Hoffenheim,Philipp Ochs,22,Germany,Left Winger,LW,£540Th.,Aalborg BK,Denmark,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/philipp-ochs/profil/spieler/207592
TSG 1899 Hoffenheim,Gregor Kobel,21,Switzerland,Goalkeeper,GK,£5.40m,FC Augsburg,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/gregor-kobel/profil/spieler/257814
TSG 1899 Hoffenheim,Justin Hoogma,21,Netherlands,Centre-Back,CB,£2.25m,FC St. Pauli,Germany,"End of loanJun 30, 2019",In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/justin-hoogma/profil/spieler/411287
Fortuna Düsseldorf,Nana Ampomah,23,Ghana,Left Winger,LW,£2.25m,Waasland-Beveren,Belgium,£3.60m,In,2019,s,1-bundesliga,https://www.transfermarkt.co.uk/nana-ampomah/profil/spieler/429086
